ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
1,3,1236,1982,3303,9,2,0,5,0,764,895,2,2,2,3,2,56,98,55,33,54,15,30,-0.4574568073619645,-0.45499793186238313,0.15545325534723473,0.10938262902085742,76,1,-1.4959385057069265,0.43680023802274426,-0.47184713208121626
3,65,1236,336,3365,40,2,0,5,0,764,895,30,30,30,2,5,13,143,74,15,2,8,240,-0.4329522465984282,-0.4386370763839332,-0.34446984707361916,-0.17758339666408363,11,1,-0.5358668597371941,-0.15927254367881996,-0.47184713208121626
4,3,1236,1058,538,9,2,0,6,0,764,895,8,9,9,3,2,12,70,27,11,54,15,100,-0.44544182904671376,-0.340744190001988,1.2737023002359866,0.0574845179927298,5,1,-1.2524468684106747,-1.3713041964629245,-0.47184713208121626
15,65,1236,2616,2796,40,2,0,5,0,764,895,10,11,11,2,1,64,104,57,15,13,10,60,0.3394035320035508,-0.0877264128234131,-0.3929273056854651,-0.16537207642217125,79,1,-1.171062435292634,-1.414645673318898,-0.47184713208121626
16,65,1236,2631,2896,40,2,0,5,0,764,895,7,8,8,2,1,13,169,82,15,34,0,60,0.49127685457470316,-0.10441106784912642,-0.41024920265531045,-0.17147773654312742,11,1,0.2171045621191503,-0.1511141480353426,-0.47184713208121626
23,74,1236,2702,2927,28,2,0,5,0,764,895,18,18,18,2,5,13,181,85,15,2,7,240,-0.4475400788980257,-0.4501478896276137,-0.36310733115509836,-0.1806362267245617,11,1,-0.18320098289235087,0.12627130384288746,-0.47184713208121626
44,70,1236,437,409,41,2,0,4,0,764,895,46,46,46,2,5,42,48,12,36,19,0,90,-0.4545592242339622,-0.4439256092399519,0.2300031916731515,-0.07684000466830646,54,1,-0.620559603144586,0.7473291722026011,-0.47184713208121626
45,67,1236,442,3489,37,2,0,5,0,764,895,34,34,34,2,1,13,145,74,15,19,10,60,-0.04160367016384849,-0.2804023487011314,-0.40038229931805674,-0.16842490648264935,11,1,-1.3847792799847247,0.18490977253038096,-0.47184713208121626
46,74,1236,620,3479,28,2,0,5,0,764,895,36,36,36,2,1,13,169,82,15,34,0,60,-0.4511120994782354,-0.4550519467242477,-0.43765726748101513,-0.17758339666408363,11,0,0.6630647891236987,0.8931604943297589,-0.47184713208121626
47,70,1236,708,1174,41,2,0,1,0,764,157,55,56,55,2,1,2,128,66,0,18,10,120,-0.38798974978460016,-0.1232945477074188,0.4207633228600563,-0.08294566478926263,4,1,0.049704061477977096,0.7473291722026011,-0.47184713208121626
