ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
1,3,1236,1982,3303,9,2,0,5,0,764,895,2,2,2,3,2,56,98,55,33,54,15,30,19,551.0,29.0,0.97,76,1,409,4823,
3,65,1236,336,3365,40,2,0,5,0,764,895,30,30,30,2,5,13,143,74,15,2,8,240,1000,6200.0,6.2,0.03,11,1,1860,3654,
4,3,1236,1058,538,9,2,0,6,0,764,895,8,9,9,3,2,12,70,27,11,54,15,100,500,40000.0,80.0,0.8,5,1,777,1277,
15,65,1236,2616,2796,40,2,0,5,0,764,895,10,11,11,2,1,64,104,57,15,13,10,60,31920,127360.8,3.99,0.07,79,1,900,1192,
16,65,1236,2631,2896,40,2,0,5,0,764,895,7,8,8,2,1,13,169,82,15,34,0,60,38000,121600.0,3.2,0.05,11,1,2998,3670,
23,74,1236,2702,2927,28,2,0,5,0,764,895,18,18,18,2,5,13,181,85,15,2,7,240,416,2225.6,5.35,0.02,11,1,2393,4214,
44,70,1236,437,409,41,2,0,4,0,764,895,46,46,46,2,5,42,48,12,36,19,0,90,135,4374.0,32.4,0.36,54,1,1732,5432,
45,67,1236,442,3489,37,2,0,5,0,764,895,34,34,34,2,1,13,145,74,15,19,10,60,16667,60834.55,3.65,0.06,11,1,577,4329,
46,74,1236,620,3479,28,2,0,5,0,764,895,36,36,36,2,1,13,169,82,15,34,0,60,273,532.35,1.95,0.03,11,0,3672,5718,
47,70,1236,708,1174,41,2,0,1,0,764,157,55,56,55,2,1,2,128,66,0,18,10,120,2800,115080.0,41.1,0.34,4,1,2745,5432,
60,70,1236,1239,1401,41,2,0,1,0,764,223,62,63,62,2,1,2,128,66,0,18,10,120,2800,115080.0,41.1,0.34,7,1,2745,5432,
61,70,1236,1272,504,41,2,0,5,0,764,895,46,46,46,3,2,70,89,44,39,54,15,20,2500,100000.0,40.0,2.0,85,1,3158,765,
62,36,1236,1316,579,28,2,0,5,0,764,895,48,48,48,3,2,25,81,38,20,54,15,100,10,850.0,85.0,0.85,26,1,4687,5433,
64,63,1236,1723,1591,30,2,0,5,0,764,255,65,66,65,2,1,22,119,62,15,10,11,60,10000,99800.0,9.98,0.17,23,1,2962,4396,
65,61,1236,1766,796,16,2,0,5,0,764,895,51,51,51,3,2,12,70,27,11,54,15,100,750,60000.0,80.0,0.8,5,1,1381,1448,
68,76,1236,1891,2047,42,2,0,1,0,764,0,71,74,73,2,5,18,0,10,40,19,10,60,579,14764.5,25.5,0.42,15,1,4687,5432,
69,36,1236,1938,2995,28,2,0,1,4,764,895,90,94,93,3,2,5,70,27,11,54,15,100,1500,120000.0,80.0,0.8,5,1,4687,5432,192.0
80,63,1236,2172,2159,30,2,0,5,0,764,895,76,79,78,3,2,54,91,46,14,54,15,30,2000,33000.0,16.5,0.55,74,1,2892,2819,
87,67,1236,2325,2629,37,2,0,1,0,764,450,107,111,110,2,5,18,43,10,40,24,9,200,712,8964.08,12.59,0.06,15,1,699,5206,
92,36,1236,2387,2773,28,2,0,5,0,764,522,114,118,117,3,2,12,70,27,11,54,15,100,1000,80000.0,80.0,0.8,5,1,1791,2480,128.0
96,36,1236,2352,2708,28,2,0,5,0,764,535,114,118,117,3,2,21,88,43,35,54,15,20,7500,202500.0,27.0,1.35,21,1,1191,1173,
108,53,1236,2529,3191,9,2,0,1,0,764,681,171,175,174,2,5,18,0,10,40,19,10,60,5513,140581.5,25.5,0.42,15,1,1097,5432,224.93
115,65,1236,2565,3287,40,2,0,5,0,764,742,178,183,182,2,5,13,143,74,15,2,8,240,1000,1920.0,1.92,0.01,11,1,3310,3470,3.07
116,65,1236,2591,3046,40,2,0,6,0,764,742,151,155,154,2,1,2,128,66,0,18,10,120,500,41095.0,82.19,0.68,7,1,244,1470,65.75
130,8,1236,19,3039,16,2,0,5,0,764,719,143,151,150,3,2,50,71,28,11,54,15,100,750,53992.5,71.99,0.72,44,1,777,3092,86.39
134,8,1236,25,3010,16,2,0,5,0,764,719,150,154,153,3,2,49,82,39,28,54,15,100,25,8750.0,350.0,3.5,73,1,2653,2805,14.0
138,67,1236,31,3157,37,2,0,5,0,764,895,179,184,183,3,2,67,66,21,2,54,15,25,10000,200000.0,20.0,0.8,83,1,1755,2562,320.0
139,67,1236,33,3295,37,2,0,5,0,764,895,200,205,204,3,2,67,66,21,2,54,15,25,10000,200000.0,20.0,0.8,83,1,1755,2610,320.0
140,67,1236,35,3373,37,2,0,5,0,764,895,200,205,204,3,2,67,66,21,2,54,15,25,10000,200000.0,20.0,0.8,83,1,1755,2605,320.0
161,82,1236,180,3454,11,2,0,5,0,764,125,198,203,202,2,1,13,169,82,15,34,0,60,64000,99200.0,1.55,0.03,11,1,2126,494,158.72
176,36,1236,232,3225,28,2,0,5,0,764,808,172,176,175,3,2,21,88,43,35,54,15,20,10000,270000.0,27.0,1.35,21,1,1721,1892,432.0
262,80,1236,446,347,33,2,0,3,4,764,154,239,246,245,2,5,38,178,85,32,2,7,200,40,317.6,7.94,0.04,32,1,4687,5432,0.51
269,65,1236,460,258,40,2,0,5,0,764,174,233,240,239,2,1,26,174,84,44,33,10,30,1000,17000.0,17.0,0.57,35,1,3000,2105,27.2
270,65,1236,461,226,40,2,0,5,0,764,184,233,240,239,2,1,64,183,85,15,33,10,60,400,3352.0,8.38,0.14,79,1,1207,1961,5.36
284,63,1236,500,349,30,2,0,5,0,764,225,240,247,246,3,3,50,94,51,15,54,16,100,1500,15.0,0.01,0.0,44,1,3376,0,0.02
305,88,1236,614,366,28,2,0,5,0,764,895,243,250,249,3,3,50,94,51,15,54,16,100,650,6.5,0.01,0.0,44,1,4687,5433,0.01
343,80,1236,710,656,33,2,0,3,4,764,59,233,230,229,2,5,38,163,82,46,15,9,200,200,340.0,1.7,0.01,15,1,4687,5432,0.54
361,90,1236,447,435,16,2,0,5,0,764,895,252,259,258,3,2,70,68,23,4,54,15,100,2,278.0,139.0,1.39,85,1,4687,5433,0.44
391,53,1236,868,1065,9,2,0,5,0,764,329,326,337,336,3,2,15,1,50,16,54,15,40,476,36176.0,76.0,1.9,17,1,2412,4046,57.88
392,53,1236,871,2523,9,2,0,5,0,764,414,501,519,518,3,2,67,66,21,2,54,15,25,659,13180.0,20.0,0.8,83,1,1059,2464,25.83
398,28,1236,886,641,15,2,0,5,0,764,333,288,290,289,3,3,50,94,51,15,54,16,100,240,2.4,0.01,0.0,44,1,4687,5433,0.0
399,28,1236,890,1271,15,2,0,5,0,764,333,351,363,362,3,3,50,94,51,15,54,16,100,213,2.13,0.01,0.0,44,1,508,3156,0.0
400,82,1236,881,599,11,2,0,3,4,764,336,269,276,275,3,2,69,68,23,4,54,15,100,63,13399.25,212.69,2.13,85,1,4687,5432,21.44
410,76,1236,932,1597,42,2,0,5,0,764,380,431,444,443,3,2,50,71,28,11,54,15,100,1634,117631.66,71.99,0.72,44,1,1916,3427,188.21
411,88,1236,958,602,28,2,0,5,0,764,371,292,302,301,3,2,21,88,43,35,54,15,20,1425,38475.0,27.0,1.35,21,1,2331,4054,61.56
414,84,1236,974,988,27,2,0,5,0,764,383,317,329,328,3,2,50,71,28,11,54,15,100,142,10222.58,71.99,0.72,44,1,1740,1391,16.36
420,65,1236,994,944,40,2,0,5,0,764,419,316,328,327,2,1,46,56,12,15,49,10,30,8400,96432.0,11.48,0.38,65,1,2767,3397,154.29
422,80,1236,1006,839,33,2,0,3,3,764,314,297,307,306,2,1,58,159,81,22,19,0,270,6,405.06,67.51,0.25,81,1,4687,5432,0.65
423,80,1236,1006,839,33,2,0,3,3,764,314,297,307,306,2,5,58,163,82,46,15,9,200,600,870.0,1.45,0.01,15,0,4687,5432,1.39
438,65,1236,1092,1122,40,2,0,1,0,764,419,340,352,351,2,5,18,42,10,40,23,1,60,400,2800.0,7.0,0.12,15,1,3090,2039,4.48
459,80,1236,1209,841,33,2,0,3,4,764,501,298,295,294,2,5,58,42,10,40,23,1,60,6,77.1,12.85,0.21,15,1,4687,5432,0.12
464,36,1236,1217,1188,28,2,0,5,0,764,895,337,349,348,3,2,50,71,28,11,54,15,100,5498,439785.02,79.99,0.8,44,1,349,1210,703.66
465,36,1236,1217,1190,28,2,0,5,0,764,895,337,346,345,3,3,50,94,51,15,54,16,100,5498,54.98,0.01,0.0,44,1,4687,5433,0.09
466,82,1236,1223,922,11,2,0,3,0,764,895,303,314,313,3,2,69,89,44,39,54,15,20,15,691.42,46.09,2.3,85,1,4687,5432,1.11
530,65,1236,1370,1520,40,2,0,5,0,764,527,388,401,400,2,1,46,175,84,15,33,10,30,1344,18359.04,13.66,0.46,65,1,635,751,29.37
531,80,1236,1380,1976,33,2,0,3,3,764,895,369,382,381,2,1,58,166,82,46,20,0,60,20,103.4,5.17,0.09,15,1,4687,5432,0.2
532,80,1236,1380,1474,33,2,0,3,3,764,895,369,313,312,2,1,58,46,11,41,22,4,30,100,1906.0,19.06,0.64,15,1,4687,5432,3.05
533,80,1236,1380,1474,33,2,0,3,3,764,895,369,313,312,2,5,58,163,82,46,15,9,200,670,1025.1,1.53,0.01,15,0,4687,5432,1.64
