Feature,Importance
Fulfill Via_From RDC,0.094994426
Country_South Africa,0.055048864
Country_Nigeria,0.050060574
Vendor INCO Term_DDP,0.044656377
Scheduled Year,0.030041246
Molecule/Test Type_Lamivudine,0.021088043
Country_Vietnam,0.0201906
Vendor_Aurobindo Pharma Limited,0.019683601
Brand_Generic,0.018251915
Brand_Determine,0.017781053
Product Group_ARV,0.017028589
Shipment Mode_Ocean,0.016659936
Country_Other,0.014194396
"Vendor_Orgenics, Ltd",0.01292822
Shipment Mode_Air Charter,0.012769214
Vendor_S. BUYS WHOLESALER,0.01165313
Line Item Insurance (USD),0.0113857305
Vendor_PHARMACY DIRECT,0.011358354
"Item Description_Efavirenz 600mg, tablets, 30 Tabs",0.011190195
Scheduled Month,0.011132919
Vendor_HETERO LABS LIMITED,0.010695992
Country_Zimbabwe,0.010690225
Country_Haiti,0.010082357
Vendor_MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.009954392
Dosage Form_Oral suspension,0.009701143
Molecule/Test Type_Lamivudine/Zidovudine,0.00947485
Scheduled Weekday,0.00945384
Dosage Form_Tablet - FDC,0.009403858
Dosage_200/50mg,0.009333918
Dosage_10mg/ml,0.009152427
Manufacturing Site_Inverness Japan,0.009138871
Country_Uganda,0.00912242
Molecule/Test Type_Lamivudine/Nevirapine/Zidovudine,0.008669795
"Manufacturing Site_Trinity Biotech, Plc",0.008348483
Manufacturing Site_Mylan (formerly Matrix) Nashik,0.008247617
Manufacturing Site_Hetero Unit III Hyderabad IN,0.008075876
Country_Ethiopia,0.008014905
Country_Mozambique,0.007991194
First Line Designation_Yes,0.007974485
Country_Zambia,0.007901335
Dosage_200mg,0.007869544
Molecule/Test Type_Nevirapine,0.0078064273
"Item Description_Zidovudine 300mg, tablets, 60 Tabs",0.007788709
Unit Price,0.007784666
"Item Description_Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",0.007735042
Pack Price,0.007735024
Molecule/Test Type_Efavirenz,0.0077027227
Shipment Mode_Truck,0.007539357
Vendor_Other,0.0074783503
Line Item Quantity,0.0074756895
"Item Description_Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",0.0073676477
"Item Description_Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",0.0073206164
Country_Tanzania,0.0072971354
Line Item Value,0.0072736833
"Manufacturing Site_Strides, Bangalore, India.",0.007265606
Country_Guyana,0.0070442944
Weight (Kilograms),0.007034395
Molecule/Test Type_Lamivudine/Nevirapine/Stavudine,0.006976025
Manufacturing Site_Other,0.0069341664
Molecule/Test Type_Lopinavir/Ritonavir,0.0067939563
Freight Cost (USD),0.0066898745
Country_Rwanda,0.0066292305
"Item Description_HIV 1/2, Determine Complete HIV Kit, 100 Tests",0.0065235775
